,_id,abstract,blog,byline,document_type,headline,keywords,multimedia,new_desk,print_page,pub_date,score,section_name,slideshow_credits,snippet,source,type_of_material,uri,web_url,word_count
0,59e6857a95d0e0246f210991,,{},{'original': 'By SAM ROBERTS'},article,"{'main': 'Marian Cannon Schlesinger, Author and Eyewitness to History, Dies at 105', 'print_headline': 'Marian Schlesinger, Author and Witness To Kennedy’s White House, Dies at 105'}","[{'isMajor': 'N', 'rank': 1, 'name': 'persons', 'value': 'Schlesinger, Marian Cannon (1912-2017)'}, {'isMajor': 'N', 'rank': 2, 'name': 'subject', 'value': 'Writing and Writers'}, {'isMajor': 'N', 'rank': 3, 'name': 'subject', 'value': ""Women's Rights""}, {'isMajor': 'N', 'rank': 4, 'name': 'persons', 'value': 'Schlesinger, Arthur M Jr'}, {'isMajor': 'N', 'rank': 5, 'name': 'persons', 'value': 'Kennedy, John Fitzgerald'}, {'isMajor': 'N', 'rank': 6, 'name': 'subject', 'value': 'Deaths (Obituaries)'}]","[{'type': 'image', 'subtype': 'xlarge', 'url': 'images/2017/10/20/obituaries/20schlesinger1/18schlesinger1-articleLarge.jpg', 'height': 682, 'width': 600, 'rank': 0, 'legacy': {'xlargewidth': 600, 'xlarge': 'images/2017/10/20/obituaries/20schlesinger1/18schlesinger1-articleLarge.jpg', 'xlargeheight': 682}}, {'type': 'image', 'subtype': 'wide', 'url': 'images/2017/10/20/obituaries/20schlesinger1/18schlesinger1-thumbWide.jpg', 'height': 126, 'width': 190, 'rank': 0, 'legacy': {'wide': 'images/2017/10/20/obituaries/20schlesinger1/18schlesinger1-thumbWide.jpg', 'widewidth': 190, 'wideheight': 126}}, {'type': 'image', 'subtype': 'thumbnail', 'url': 'images/2017/10/20/obituaries/20schlesinger1/18schlesinger1-thumbStandard.jpg', 'height': 75, 'width': 75, 'rank': 0, 'legacy': {'thumbnailheight': 75, 'thumbnail': 'images/2017/10/20/obituaries/20schlesinger1/18schlesinger1-thumbStandard.jpg', 'thumbnailwidth': 75}}]",Obits,15,2017-10-17T22:34:02+0000,1.0,,,"A painter, memoirist and daughter of an early feminist, she wrote frankly of the Kennedy White House, where her husband, Arthur Schlesinger Jr., was an adviser.",The New York Times,Obituary (Obit),nyt://article/61d169ce-63f6-5199-b663-2374c8b7561e,https://www.nytimes.com/2017/10/17/obituaries/marian-schlesinger-dead-author-and-eyewitness-to-history.html,1125.0
1,59e6522995d0e0246f2108ec,,{},{'original': 'By NOAM SCHEIBER'},article,"{'main': 'Arthur Cinader, Who Started J. Crew, Avatar of Preppy Style, Dies at 90', 'print_headline': 'Arthur Cinader, J. Crew Founder Who Defined Preppy, Dies at 90'}","[{'isMajor': 'N', 'rank': 1, 'name': 'persons', 'value': 'Cinader, Arthur'}, {'isMajor': 'N', 'rank': 2, 'name': 'organizations', 'value': 'J Crew Group'}, {'isMajor': 'N', 'rank': 3, 'name': 'subject', 'value': 'Fashion and Apparel'}, {'isMajor': 'N', 'rank': 4, 'name': 'subject', 'value': 'Shopping and Retail'}, {'isMajor': 'N', 'rank': 5, 'name': 'subject', 'value': 'Deaths (Obituaries)'}]","[{'type': 'image', 'subtype': 'xlarge', 'url': 'images/2017/10/18/arts/18cinader-obit-1/18cinader-obit-1-articleLarge.jpg', 'height': 790, 'width': 600, 'rank': 0, 'legacy': {'xlargewidth': 600, 'xlarge': 'images/2017/10/18/arts/18cinader-obit-1/18cinader-obit-1-articleLarge.jpg', 'xlargeheight': 790}}, {'type': 'image', 'subtype': 'wide', 'url': 'images/2017/10/18/arts/18cinader-obit-1/18cinader-obit-1-thumbWide.jpg', 'height': 126, 'width': 190, 'rank': 0, 'legacy': {'wide': 'images/2017/10/18/arts/18cinader-obit-1/18cinader-obit-1-thumbWide.jpg', 'widewidth': 190, 'wideheight': 126}}, {'type': 'image', 'subtype': 'thumbnail', 'url': 'images/2017/10/18/arts/18cinader-obit-1/18cinader-obit-1-thumbStandard.jpg', 'height': 75, 'width': 75, 'rank': 0, 'legacy': {'thumbnailheight': 75, 'thumbnail': 'images/2017/10/18/arts/18cinader-obit-1/18cinader-obit-1-thumbStandard.jpg', 'thumbnailwidth': 75}}]",Obits,15,2017-10-17T18:55:27+0000,1.0,,,Mr. Cinader created a retail success story by catering to affluent consumers eager to signal a certain Ivy League pedigree in what they wear.,The New York Times,Obituary (Obit),nyt://article/3f29212b-95b5-57f8-90c6-bd00db760367,https://www.nytimes.com/2017/10/17/obituaries/arthur-cinader-who-started-j-crew-avatar-of-preppy-style-dies-at-90.html,1056.0
2,59e5226c95d0e0246f2105ec,,{},{'original': 'By SAM ROBERTS'},article,"{'main': 'Sima Wali, Champion of Afghan Women’s Rights, Is Dead at 66', 'print_headline': 'Sima Wali, 66, a Champion of Rights For Women in Afghanistan, Is Dead'}","[{'isMajor': 'N', 'rank': 1, 'name': 'persons', 'value': 'Wali, Sima'}, {'isMajor': 'N', 'rank': 2, 'name': 'subject', 'value': ""Women's Rights""}, {'isMajor': 'N', 'rank': 3, 'name': 'glocations', 'value': 'Afghanistan'}, {'isMajor': 'N', 'rank': 4, 'name': 'organizations', 'value': 'Taliban'}, {'isMajor': 'N', 'rank': 5, 'name': 'organizations', 'value': 'Sisterhood Is Global Institute'}, {'isMajor': 'N', 'rank': 6, 'name': 'subject', 'value': 'Deaths (Obituaries)'}]","[{'type': 'image', 'subtype': 'xlarge', 'url': 'images/2017/10/17/obituaries/17wali2/17wali2-articleLarge.jpg', 'height': 376, 'width': 600, 'rank': 0, 'legacy': {'xlargewidth': 600, 'xlarge': 'images/2017/10/17/obituaries/17wali2/17wali2-articleLarge.jpg', 'xlargeheight': 376}}, {'type': 'image', 'subtype': 'wide', 'url': 'images/2017/10/17/obituaries/17wali2/17wali2-thumbWide.jpg', 'height': 126, 'width': 190, 'rank': 0, 'legacy': {'wide': 'images/2017/10/17/obituaries/17wali2/17wali2-thumbWide.jpg', 'widewidth': 190, 'wideheight': 126}}, {'type': 'image', 'subtype': 'thumbnail', 'url': 'images/2017/10/17/obituaries/17wali2/17wali2-thumbStandard.jpg', 'height': 75, 'width': 75, 'rank': 0, 'legacy': {'thumbnailheight': 75, 'thumbnail': 'images/2017/10/17/obituaries/17wali2/17wali2-thumbStandard.jpg', 'thumbnailwidth': 75}}]",Obits,13,2017-10-16T21:19:15+0000,1.0,,,"She wrote of women oppressed by the Taliban, “I carried with me their pleading voices and ultimately their screams, while the world looked away.”",The New York Times,Obituary (Obit),nyt://article/452656ec-ef21-55aa-920f-1b9eb88fe7ac,https://www.nytimes.com/2017/10/16/obituaries/sima-wali-dead-champion-of-afghan-womens-rights.html,947.0
3,59e4efbe95d0e0246f210550,,{},{'original': 'By ROBERT D. McFADDEN'},article,"{'main': 'Roy Dotrice, Nimble British Actor Familiar on Both Sides of Atlantic, Dies at 94', 'kicker': '', 'print_headline': 'Roy Dotrice, 94, Nimble British Actor Familiar on Both Sides of Atlantic, Dies'}","[{'isMajor': 'N', 'rank': 1, 'name': 'persons', 'value': 'Dotrice, Roy'}, {'isMajor': 'N', 'rank': 2, 'name': 'subject', 'value': 'Deaths (Obituaries)'}, {'isMajor': 'N', 'rank': 3, 'name': 'subject', 'value': 'Actors and Actresses'}, {'isMajor': 'N', 'rank': 4, 'name': 'creative_works', 'value': 'A Moon for the Misbegotten (Play)'}, {'isMajor': 'N', 'rank': 5, 'name': 'organizations', 'value': 'Royal Shakespeare Co'}, {'isMajor': 'N', 'rank': 6, 'name': 'persons', 'value': 'Aubrey, John (1626-97)'}, {'isMajor': 'N', 'rank': 7, 'name': 'glocations', 'value': 'Great Britain'}, {'isMajor': 'N', 'rank': 8, 'name': 'subject', 'value': 'Theater'}]","[{'type': 'image', 'subtype': 'xlarge', 'url': 'images/2017/10/17/obituaries/17dotricepr1/17dotricepr1-articleLarge-v2.jpg', 'height': 392, 'width': 600, 'rank': 0, 'legacy': {'xlargewidth': 600, 'xlarge': 'images/2017/10/17/obituaries/17dotricepr1/17dotricepr1-articleLarge-v2.jpg', 'xlargeheight': 392}}, {'type': 'image', 'subtype': 'wide', 'url': 'images/2017/10/17/obituaries/17dotricepr1/17dotrice4-thumbWide-v2.jpg', 'height': 126, 'width': 190, 'rank': 0, 'legacy': {'wide': 'images/2017/10/17/obituaries/17dotricepr1/17dotrice4-thumbWide-v2.jpg', 'widewidth': 190, 'wideheight': 126}}, {'type': 'image', 'subtype': 'thumbnail', 'url': 'images/2017/10/17/obituaries/17dotricepr1/17dotrice4-thumbStandard.jpg', 'height': 75, 'width': 75, 'rank': 0, 'legacy': {'thumbnailheight': 75, 'thumbnail': 'images/2017/10/17/obituaries/17dotricepr1/17dotrice4-thumbStandard.jpg', 'thumbnailwidth': 75}}]",Obits,12,2017-10-16T17:43:12+0000,1.0,,,"Mr. Dotrice, who began acting in a P.O.W. camp, had a long career in movies, on TV and onstage, winning his Tony in “A Moon for the Misbegotten.”",The New York Times,Obituary (Obit),nyt://article/845314e4-45d8-5b19-91f0-28ab41015bd3,https://www.nytimes.com/2017/10/16/obituaries/roy-dotrice-dead-veteran-actor-and-tony-winner.html,1113.0
4,59e3db9c95d0e0246f2102de,,{},{'original': 'By DANIEL LEWIS'},article,"{'main': 'Richard Wilbur, Poet Laureate and Pulitzer Winner, Dies at 96', 'kicker': '', 'print_headline': 'Richard Wilbur, U.S. Poet Laureate and Pulitzer Winner, Is Dead at 96'}","[{'isMajor': 'N', 'rank': 1, 'name': 'persons', 'value': 'Wilbur, Richard'}, {'isMajor': 'N', 'rank': 2, 'name': 'subject', 'value': 'Poetry and Poets'}, {'isMajor': 'N', 'rank': 3, 'name': 'subject', 'value': 'Poets Laureate'}, {'isMajor': 'N', 'rank': 4, 'name': 'subject', 'value': 'Deaths (Obituaries)'}]","[{'type': 'image', 'subtype': 'xlarge', 'url': 'images/2017/10/16/arts/Wilburobit2/Wilburobit2-articleLarge.jpg', 'height': 397, 'width': 600, 'rank': 0, 'legacy': {'xlargewidth': 600, 'xlarge': 'images/2017/10/16/arts/Wilburobit2/Wilburobit2-articleLarge.jpg', 'xlargeheight': 397}}, {'type': 'image', 'subtype': 'wide', 'url': 'images/2017/10/16/arts/Wilburobit2/Wilburobit2-thumbWide.jpg', 'height': 126, 'width': 190, 'rank': 0, 'legacy': {'wide': 'images/2017/10/16/arts/Wilburobit2/Wilburobit2-thumbWide.jpg', 'widewidth': 190, 'wideheight': 126}}, {'type': 'image', 'subtype': 'thumbnail', 'url': 'images/2017/10/16/arts/Wilburobit2/Wilburobit2-thumbStandard.jpg', 'height': 75, 'width': 75, 'rank': 0, 'legacy': {'thumbnailheight': 75, 'thumbnail': 'images/2017/10/16/arts/Wilburobit2/Wilburobit2-thumbStandard.jpg', 'thumbnailwidth': 75}}]",Obits,19,2017-10-15T22:05:02+0000,1.0,,,Mr. Wilbur’s poems were praised for their beauty but were criticized for their “mildness.” He was named the nation’s second poet laureate.,The New York Times,Obituary (Obit),nyt://article/f1b17034-153a-598f-9ea3-693b5764c630,https://www.nytimes.com/2017/10/15/obituaries/richard-wilbur-poet-laureate-and-pulitzer-winner-dies-at-96.html,1256.0
5,59e3a6e895d0e0246f21028d,,{},{'original': 'By NEIL GENZLINGER'},article,"{'main': 'Mary Cochran, Dancer Who ‘Lit Up the Stage,’ Dies at 54', 'print_headline': 'Mary Cochran, 54, a Vivacious Dancer'}","[{'isMajor': 'N', 'rank': 1, 'name': 'persons', 'value': 'Cochran, Mary'}, {'isMajor': 'N', 'rank': 2, 'name': 'subject', 'value': 'Dancing'}, {'isMajor': 'N', 'rank': 3, 'name': 'organizations', 'value': 'Taylor, Paul, Dance Co'}, {'isMajor': 'N', 'rank': 4, 'name': 'organizations', 'value': 'Barnard College'}, {'isMajor': 'N', 'rank': 5, 'name': 'subject', 'value': 'Deaths (Obituaries)'}]","[{'type': 'image', 'subtype': 'xlarge', 'url': 'images/2017/10/17/obituaries/17Cochran1/Cochranobit2-articleLarge.jpg', 'height': 901, 'width': 600, 'rank': 0, 'legacy': {'xlargewidth': 600, 'xlarge': 'images/2017/10/17/obituaries/17Cochran1/Cochranobit2-articleLarge.jpg', 'xlargeheight': 901}}, {'type': 'image', 'subtype': 'wide', 'url': 'images/2017/10/17/obituaries/17Cochran1/Cochranobit2-thumbWide.jpg', 'height': 126, 'width': 190, 'rank': 0, 'legacy': {'wide': 'images/2017/10/17/obituaries/17Cochran1/Cochranobit2-thumbWide.jpg', 'widewidth': 190, 'wideheight': 126}}, {'type': 'image', 'subtype': 'thumbnail', 'url': 'images/2017/10/17/obituaries/17Cochran1/Cochranobit2-thumbStandard.jpg', 'height': 75, 'width': 75, 'rank': 0, 'legacy': {'thumbnailheight': 75, 'thumbnail': 'images/2017/10/17/obituaries/17Cochran1/Cochranobit2-thumbStandard.jpg', 'thumbnailwidth': 75}}]",Obits,12,2017-10-15T18:20:11+0000,1.0,,,"Ms. Cochran, the daughter of a dancer, performed with the Paul Taylor Dance Company for 12 years, then led the influential dance department at Barnard College for 10.",The New York Times,Obituary (Obit),nyt://article/18777059-25f0-590e-bcba-3ddb2fb24b0d,https://www.nytimes.com/2017/10/15/obituaries/mary-cochran-dancer-who-lit-up-the-stage-dies-at-54.html,939.0
6,59e2c84b95d0e0246f210182,,{},{'original': 'By DYLAN LOEB McCLAIN'},article,"{'main': 'William Lombardy, Chess Grandmaster Turned Priest, Dies at 79', 'print_headline': 'William Lombardy, 79, a Grandmaster Turned Priest'}","[{'isMajor': 'N', 'rank': 1, 'name': 'subject', 'value': 'Chess'}, {'isMajor': 'N', 'rank': 2, 'name': 'persons', 'value': 'Lombardy, William J'}, {'isMajor': 'N', 'rank': 3, 'name': 'subject', 'value': 'Priests'}, {'isMajor': 'N', 'rank': 4, 'name': 'organizations', 'value': 'Roman Catholic Church'}, {'isMajor': 'N', 'rank': 5, 'name': 'organizations', 'value': 'World Chess Federation'}]","[{'type': 'image', 'subtype': 'xlarge', 'url': 'images/2017/10/16/obituaries/lombardy3/lombardy3-articleLarge-v3.jpg', 'height': 912, 'width': 600, 'rank': 0, 'legacy': {'xlargewidth': 600, 'xlarge': 'images/2017/10/16/obituaries/lombardy3/lombardy3-articleLarge-v3.jpg', 'xlargeheight': 912}}, {'type': 'image', 'subtype': 'wide', 'url': 'images/2017/10/16/obituaries/lombardy3/lombardy3-thumbWide-v3.jpg', 'height': 126, 'width': 190, 'rank': 0, 'legacy': {'wide': 'images/2017/10/16/obituaries/lombardy3/lombardy3-thumbWide-v3.jpg', 'widewidth': 190, 'wideheight': 126}}, {'type': 'image', 'subtype': 'thumbnail', 'url': 'images/2017/10/16/obituaries/lombardy3/lombardy3-thumbStandard-v3.jpg', 'height': 75, 'width': 75, 'rank': 0, 'legacy': {'thumbnailheight': 75, 'thumbnail': 'images/2017/10/16/obituaries/lombardy3/lombardy3-thumbStandard-v3.jpg', 'thumbnailwidth': 75}}]",Obits,19,2017-10-15T02:30:22+0000,1.0,,,"The Bronx-born Mr. Lombardy was among the top players of his generation, but he gave up chess almost entirely to join the priesthood, which he later renounced.",The New York Times,Obituary (Obit),nyt://article/6dea5fc6-ae0d-58fc-b0f0-1665614095da,https://www.nytimes.com/2017/10/14/obituaries/william-lombardy-dead-chess-grandmaster.html,1370.0
7,59e145e295d0e0246f20ffd6,,{},{'original': 'By RICHARD SANDOMIR'},article,"{'main': 'Terry Downes Dies at 81; Middleweight Champion Was Britain’s Pride', 'print_headline': 'Terry Downes, 81, Crowd-Pleasing Boxer'}","[{'isMajor': 'N', 'rank': 1, 'name': 'persons', 'value': 'Downes, Terence R (1936-2017)'}, {'isMajor': 'N', 'rank': 2, 'name': 'subject', 'value': 'Deaths (Obituaries)'}, {'isMajor': 'N', 'rank': 3, 'name': 'subject', 'value': 'Boxing'}, {'isMajor': 'N', 'rank': 4, 'name': 'glocations', 'value': 'Great Britain'}]","[{'type': 'image', 'subtype': 'xlarge', 'url': 'images/2017/10/17/obituaries/17downes1/merlin-to-scoop-128694170-296162-articleLarge.jpg', 'height': 466, 'width': 600, 'rank': 0, 'legacy': {'xlargewidth': 600, 'xlarge': 'images/2017/10/17/obituaries/17downes1/merlin-to-scoop-128694170-296162-articleLarge.jpg', 'xlargeheight': 466}}, {'type': 'image', 'subtype': 'wide', 'url': 'images/2017/10/17/obituaries/17downes1/merlin-to-scoop-128694170-296162-thumbWide.jpg', 'height': 126, 'width': 190, 'rank': 0, 'legacy': {'wide': 'images/2017/10/17/obituaries/17downes1/merlin-to-scoop-128694170-296162-thumbWide.jpg', 'widewidth': 190, 'wideheight': 126}}, {'type': 'image', 'subtype': 'thumbnail', 'url': 'images/2017/10/17/obituaries/17downes1/15downes1-thumbStandard.jpg', 'height': 75, 'width': 75, 'rank': 0, 'legacy': {'thumbnailheight': 75, 'thumbnail': 'images/2017/10/17/obituaries/17downes1/15downes1-thumbStandard.jpg', 'thumbnailwidth': 75}}]",Obits,13,2017-10-13T23:01:47+0000,1.0,,,"Downes was a middleweight champion who fought all but two of his bouts in Britain, defeating a fading Sugar Ray Robinson in 1962.",The New York Times,Obituary (Obit),nyt://article/b140e459-26f1-5aac-8f3a-eab55c47250f,https://www.nytimes.com/2017/10/13/obituaries/terry-downes-dead-middleweight-champion-and-britains-pride.html,1039.0
8,59e1450295d0e0246f20ffd4,,{},{'original': 'By AMISHA PADNANI'},article,"{'main': 'Lawrence Argent, Sculptor Who Was Big on Whimsy, Dies at 60', 'print_headline': 'Lawrence Argent, Sculptor  Of Public Art Who Was Big  On Whimsy, Is Dead at 60'}","[{'isMajor': 'N', 'rank': 1, 'name': 'persons', 'value': 'Argent, Lawrence (1957-2017)'}, {'isMajor': 'N', 'rank': 2, 'name': 'subject', 'value': 'Deaths (Obituaries)'}, {'isMajor': 'N', 'rank': 3, 'name': 'subject', 'value': 'Sculpture'}, {'isMajor': 'N', 'rank': 4, 'name': 'subject', 'value': 'vis-photo'}]","[{'type': 'image', 'subtype': 'xlarge', 'url': 'images/2017/10/14/obituaries/14argent7/merlin-to-scoop-128741864-797107-articleLarge.jpg', 'height': 400, 'width': 600, 'rank': 0, 'legacy': {'xlargewidth': 600, 'xlarge': 'images/2017/10/14/obituaries/14argent7/merlin-to-scoop-128741864-797107-articleLarge.jpg', 'xlargeheight': 400}}, {'type': 'image', 'subtype': 'wide', 'url': 'images/2017/10/14/obituaries/14argent7/merlin-to-scoop-128741864-797107-thumbWide.jpg', 'height': 126, 'width': 190, 'rank': 0, 'legacy': {'wide': 'images/2017/10/14/obituaries/14argent7/merlin-to-scoop-128741864-797107-thumbWide.jpg', 'widewidth': 190, 'wideheight': 126}}, {'type': 'image', 'subtype': 'thumbnail', 'url': 'images/2017/10/14/obituaries/14argent7/merlin-to-scoop-128741864-797107-thumbStandard.jpg', 'height': 75, 'width': 75, 'rank': 0, 'legacy': {'thumbnailheight': 75, 'thumbnail': 'images/2017/10/14/obituaries/14argent7/merlin-to-scoop-128741864-797107-thumbStandard.jpg', 'thumbnailwidth': 75}}]",Obits,6,2017-10-13T22:57:57+0000,1.0,,,"Mr. Argent was especially known for “I See What You Mean,” a 40-foot-tall blue bear peering into the Colorado Convention Center.",The New York Times,Obituary (Obit),nyt://article/0f8d1a41-8ada-53d2-964c-6adac71be352,https://www.nytimes.com/2017/10/13/obituaries/lawrence-argent-sculptor-who-was-big-on-whimsy-dies-at-60.html,906.0
9,59dfc89a95d0e0246f20fb90,,{},{'original': 'By RICHARD SANDOMIR'},article,"{'main': 'Grady Tate, Jazz Drummer Turned Vocalist, Dies at 85', 'print_headline': 'Grady Tate, a Jazz Drummer And Then a Singer, Dies at 85'}","[{'isMajor': 'N', 'rank': 1, 'name': 'persons', 'value': 'Tate, Grady'}, {'isMajor': 'N', 'rank': 2, 'name': 'subject', 'value': 'Jazz'}, {'isMajor': 'N', 'rank': 3, 'name': 'subject', 'value': 'Deaths (Obituaries)'}]","[{'type': 'image', 'subtype': 'xlarge', 'url': 'images/2017/10/15/obituaries/13grady1/merlin-to-scoop-128657645-220475-articleLarge.jpg', 'height': 402, 'width': 600, 'rank': 0, 'legacy': {'xlargewidth': 600, 'xlarge': 'images/2017/10/15/obituaries/13grady1/merlin-to-scoop-128657645-220475-articleLarge.jpg', 'xlargeheight': 402}}, {'type': 'image', 'subtype': 'wide', 'url': 'images/2017/10/15/obituaries/13grady1/13grady1-thumbWide.jpg', 'height': 126, 'width': 190, 'rank': 0, 'legacy': {'wide': 'images/2017/10/15/obituaries/13grady1/13grady1-thumbWide.jpg', 'widewidth': 190, 'wideheight': 126}}, {'type': 'image', 'subtype': 'thumbnail', 'url': 'images/2017/10/15/obituaries/13grady1/merlin-to-scoop-128657645-220475-thumbStandard.jpg', 'height': 75, 'width': 75, 'rank': 0, 'legacy': {'thumbnailheight': 75, 'thumbnail': 'images/2017/10/15/obituaries/13grady1/merlin-to-scoop-128657645-220475-thumbStandard.jpg', 'thumbnailwidth': 75}}]",Obits,23,2017-10-12T19:54:37+0000,1.0,,,"Celebrated for his versatility as a percussionist, Mr. Tate “never thought of singing as a career,” but somehow it happened.",The New York Times,Obituary (Obit),nyt://article/b1778113-5d1c-5fe6-8643-3700d639b4c9,https://www.nytimes.com/2017/10/12/obituaries/grady-tate-dead-jazz-drummer-turned-vocalist.html,1111.0
