,_id,blog,byline,document_type,headline,keywords,multimedia,new_desk,print_page,pub_date,score,section_name,snippet,source,type_of_material,uri,web_url,word_count
0,59f8a75195d0e0246f2132b2,{},{'original': 'By REUTERS'},article,"{'main': 'France Coach Deschamps Signs New Contract Until 2020', 'print_headline': 'France Coach Deschamps Signs New Contract Until 2020'}",[],[],None,,2017-10-31T16:39:36+0000,1.0,Soccer,"France coach Didier Deschamps has signed a new contract to stay on until 2020, the French Football Federation (FFF) said on Tuesday.",Reuters,News,nyt://article/65d144ee-f52c-52db-a44c-b227c7552f06,https://www.nytimes.com/reuters/2017/10/31/sports/soccer/31reuters-soccer-france-deschamps.html,107
1,59f89e3095d0e0246f21327f,{},{'original': 'By REUTERS'},article,"{'main': 'Powell Falls Short of Ton as West Indies Claim First Innings Lead', 'print_headline': 'Powell Falls Short of Ton as West Indies Claim First Innings Lead'}",[],[],None,,2017-10-31T16:00:39+0000,1.0,Cricket,Opener Kieran Powell scored a patient 90 as West Indies reached 374 for seven at the close of play on the third day of the second test against Zimbabwe at the Queens Sports Club on Tuesday.,Reuters,News,nyt://article/7ce65beb-0af9-5d5c-a60f-4f69c127b853,https://www.nytimes.com/reuters/2017/10/31/sports/cricket/31reuters-cricket-test-zwe-win.html,225
2,59f89e2b95d0e0246f21327e,{},{'original': 'By REUTERS'},article,"{'main': 'Formula One to Have Louder and Simpler Engine in 2021', 'print_headline': 'Formula One to Have Louder and Simpler Engine in 2021'}",[],[],None,,2017-10-31T16:00:36+0000,1.0,Auto Racing,"Formula One will have simpler, cheaper and noisier engines from 2021 as part of a ""road map"" for the future presented to teams on Tuesday that could entice new manufacturers to enter the sport.",Reuters,News,nyt://article/79e70700-f351-5e15-b06a-bf6c29181f12,https://www.nytimes.com/reuters/2017/10/31/sports/autoracing/31reuters-motor-f1-engines.html,410
3,59f89d7695d0e0246f21327a,{},{'original': 'By REUTERS'},article,"{'main': 'Girardi Surprised, Disappointed With Exit From Yankees', 'print_headline': 'Girardi Surprised, Disappointed With Exit From Yankees'}",[],[],None,,2017-10-31T15:57:32+0000,1.0,Baseball,"Joe Girardi said he is ""surprised"" and ""disappointed"" with the New York Yankees' decision to opt against his return as the team's manager next season.",Reuters,News,nyt://article/faa62d71-9c42-5c05-938f-22c1810e0ed6,https://www.nytimes.com/reuters/2017/10/31/sports/baseball/31reuters-baseball-mlb-nyy-girardi.html,400
4,59f89d7095d0e0246f213279,{},{'original': 'By REUTERS'},article,"{'main': 'Eagles Acquire Pro Bowl Running Back Ajayi From Dolphins', 'print_headline': 'Eagles Acquire Pro Bowl Running Back Ajayi From Dolphins'}",[],[],None,,2017-10-31T15:57:29+0000,1.0,Pro Football,The Philadelphia Eagles acquired Pro Bowl running back Jay Ajayi from the Miami Dolphins on Tuesday for a fourth-round pick in the 2018 draft.,Reuters,News,nyt://article/9e294e3c-acee-5672-8c48-1d7c2afcd896,https://www.nytimes.com/reuters/2017/10/31/sports/football/31reuters-football-nfl-phi-ajayi.html,244
5,59f89a2295d0e0246f213272,{},{'original': 'By REUTERS'},article,"{'main': 'Vandeweghe Wobbles but Roars Back to Win Elite Trophy Opener', 'print_headline': 'Vandeweghe Wobbles but Roars Back to Win Elite Trophy Opener'}",[],[],None,,2017-10-31T15:42:52+0000,1.0,Tennis,"American CoCo Vandeweghe kicked off the WTA Elite Trophy in Zhuhai, China with a dramatic comeback win on Tuesday, seeing off home wildcard Peng Shuai 3-6 6-3 6-2 in the first round-robin match of the Bougainvillea Group.",Reuters,News,nyt://article/af8bae2a-e5c9-56b1-9080-628d739f100a,https://www.nytimes.com/reuters/2017/10/31/sports/tennis/31reuters-tennis-wtaelite.html,257
6,59f8946395d0e0246f21325c,{},{'original': 'By THE ASSOCIATED PRESS'},article,"{'main': 'F1 Set for Louder and More Affordable Engines in 2021', 'print_headline': 'F1 Set for Louder and More Affordable Engines in 2021'}",[],[],None,,2017-10-31T15:18:44+0000,1.0,,Formula One's engines in 2021 will be noisier and higher-revving. They will also be more affordable.,AP,News,nyt://article/df856443-46dd-554c-a3ef-a18037696aa6,https://www.nytimes.com/aponline/2017/10/31/sports/ap-car-f1-2021-engines.html,554
7,59f8924895d0e0246f213257,{},{'original': 'By REUTERS'},article,"{'main': ""Spurs' Kane Should Be Fit to Face Real Madrid, Says Pochettino"", 'print_headline': ""Spurs' Kane Should Be Fit to Face Real Madrid, Says Pochettino""}",[],[],None,,2017-10-31T15:09:32+0000,1.0,Soccer,Tottenham Hotspur striker Harry Kane has trained with the first-team squad and will be assessed ahead of Wednesday's Champions League match against Real Madrid at Wembley.,Reuters,News,nyt://article/9edbd544-5701-5ed2-9c35-9a19ca4b1054,https://www.nytimes.com/reuters/2017/10/31/sports/soccer/31reuters-soccer-champions-tot-mad-pochettino.html,299
8,59f8918195d0e0246f213254,{},{'original': 'By REUTERS'},article,"{'main': ""Resting Policy Gets Thumbs-Up From All Blacks' Smith"", 'print_headline': ""Resting Policy Gets Thumbs-Up From All Blacks' Smith""}",[],[],None,,2017-10-31T15:06:31+0000,1.0,Rugby,"LONDON, (Reuters) &#8211; - New Zealand&#8217;s policy of resting key players during this year&#8217;s Rugby Championship has ensured they are not jaded for their European tour, scrumhalf Aaron Smith said on Tuesday.",Reuters,News,nyt://article/ff5eb77a-7c17-53cc-a035-6d9e09e931ad,https://www.nytimes.com/reuters/2017/10/31/sports/rugby/31reuters-rugby-union-nzl-smith.html,239
9,59f88dc295d0e0246f213243,{},{'original': 'By THE ASSOCIATED PRESS'},article,"{'main': 'Dolphins Trade Jay Ajayi to Eagles for Fourth-Round Pick', 'print_headline': 'Dolphins Trade Jay Ajayi to Eagles for Fourth-Round Pick'}","[{'isMajor': 'N', 'rank': 1, 'name': 'subject', 'value': 'Football'}, {'isMajor': 'N', 'rank': 2, 'name': 'subject', 'value': 'Trades (Sports)'}, {'isMajor': 'N', 'rank': 3, 'name': 'organizations', 'value': 'Miami Dolphins'}, {'isMajor': 'N', 'rank': 4, 'name': 'organizations', 'value': 'Philadelphia Eagles'}]","[{'type': 'image', 'subtype': 'xlarge', 'url': 'images/2017/11/01/sports/ajayi/ajayi-articleLarge.jpg', 'height': 400, 'width': 600, 'rank': 0, 'legacy': {'xlargewidth': 600, 'xlarge': 'images/2017/11/01/sports/ajayi/ajayi-articleLarge.jpg', 'xlargeheight': 400}}, {'type': 'image', 'subtype': 'wide', 'url': 'images/2017/11/01/sports/ajayi/ajayi-thumbWide.jpg', 'height': 126, 'width': 190, 'rank': 0, 'legacy': {'wide': 'images/2017/11/01/sports/ajayi/ajayi-thumbWide.jpg', 'widewidth': 190, 'wideheight': 126}}, {'type': 'image', 'subtype': 'thumbnail', 'url': 'images/2017/11/01/sports/ajayi/ajayi-thumbStandard.jpg', 'height': 75, 'width': 75, 'rank': 0, 'legacy': {'thumbnailheight': 75, 'thumbnail': 'images/2017/11/01/sports/ajayi/ajayi-thumbStandard.jpg', 'thumbnailwidth': 75}}]",Sports,,2017-10-31T14:50:08+0000,1.0,Pro Football,Ajayi has 465 yards rushing and is averaging 3.4 yards per carry with no touchdowns. He went to the Pro Bowl last season.,The New York Times,News,nyt://article/efea9289-c4bd-578d-83f7-69ed6782d9bb,https://www.nytimes.com/2017/10/31/sports/football/jay-ajayi-eagles-trade-dolphins.html,422
0,59f8890f95d0e0246f21323b,{},{'original': 'By REUTERS'},article,"{'main': 'Gatland Fully Committed to Wales Job', 'print_headline': 'Gatland Fully Committed to Wales Job'}",[],[],None,,2017-10-31T14:30:29+0000,1.0,Rugby,Wales coach Warren Gatland reiterated his commitment to the job on Tuesday and said he believed his team could win the 2019 World Cup.,Reuters,News,nyt://article/21475752-27ff-5814-8bdf-265fe66bcc58,https://www.nytimes.com/reuters/2017/10/31/sports/rugby/31reuters-rugby-union-wales.html,352
